Id;Name;Electron;Symbol;Masse;Year;Scientist;Country;Fusion;Ebullition
1;Hydrogène;1;H;1,00794;1766;Henry Cavendish;Grande-Bretagne;No Information;No Information
2;Hélium;2;He;4,002602;1895;Jules Janssen, Joseph Norman Lockyer;Grande-Bretagne;No Information;-268,93 °C
3;Lithium;3;Li;6,941;1817;Johan August Arfwedson;Suède;180,5 °C;1 342 °C
4;Béryllium;4;Be;9,012182;1798;Louis-Nicolas Vauquelin;France;1 287 °C;2 471 °C
5;Bore;5;B;10,811;1808;Louis Joseph Gay-Lussac, Louis Jacques Thénard, Humphry Davy;France et Grande-Bretagne;2 075 °C;4 000 °C
6;Carbone;6;C;12,0107;Antiquité;No Information;No Information;No Information;3 825 °C
7;Azote;7;N;14,0067;1772;Daniel Rutherford;Écosse;-210,00 °C;-195,798 °C
8;Oxygène;8;O;15,9994;1774;Carl Wilhelm Scheele, Joseph Priestley;Grande-Bretagne et Suède;-218,79 °C;-182,95 °C
9;Fluor;9;F;18,9984032;1886;Henri Moissan;France;-219,67 °C;-188,12 °C
10;Néon;10;Ne;20,1797;1898;Morris William Travers, William Ramsay;Grande-Bretagne;No Information;-246,053 °C
11;Sodium;11;Na;22,98976928;1807;Humphry Davy;Grande-Bretagne;97,80 °C;883 °C
12;Magnésium;12;Mg;24,3050;1775;Joseph Black;Écosse;650 °C;1 090 °C
13;Aluminium;13;Al;26,9815386;1827;Hans Christian Ørsted;Danemark;660,323 °C;2 519 °C
14;Silicium;14;Si;28,0855;1824;Jöns Jacob Berzelius;Suède;1 414 °C;3 265 °C
15;Phosphore;15;P;30,973762;1669;Hennig Brandt;Allemagne;44,15 °C;280,5 °C
16;Soufre;16;S;32,065;Antiquité;No Information;No Information;115,21 °C;444,61 °C
17;Chlore;17;Cl;35,453;1774;Carl Wilhelm Scheele;Suède;-101,5 °C;-34,04 °C
18;Argon;18;Ar;39,948;1894;William Ramsay, John William Strutt Rayleigh;No Information;-189,36 °C;-185,85 °C
19;Potassium;19;K;39,0983;1807;Humphry Davy;Grande-Bretagne;63,5 °C;759 °C
20;Calcium;20;Ca;40,078;1808;Humphry Davy;Grande-Bretagne;842 °C;1 484 °C
21;Scandium;21;Sc;44,955912;1879;Lars Fredrik Nilson;Suède;1 541 °C;2 836 °C
22;Titane;22;Ti;47,867;1791;William Gregor;Grande-Bretagne;1 668 °C;3 287 °C
23;Vanadium;23;V;50,9415;1901;Andrés Manuel del Río;Suède;1 910 °C;3 407 °C
24;Chrome;24;Cr;51,9961;1797;Louis-Nicolas Vauquelin;France;1 907 °C;2 671 °C
25;Manganèse;25;Mn;54,938045;1774;Ignatius Gottfried Kaim, Johan Gottlieb Gahn;Suède;1 246 °C;2 061 °C
26;Fer;26;Fe;55,845;Antiquité;No Information;No Information;1 538 °C;2 861 °C
27;Cobalt;27;Co;58,933195;1735;Georg Brandt;Suède;1 495 °C;2 927 °C
28;Nickel;28;Ni;58,6934;1751;Axel Frederik Cronstedt;Suède;1 455 °C;2 913 °C
29;Cuivre;29;Cu;63,546;Antiquité;No Information;No Information;1 084,62 °C;2 562 °C
30;Zinc;30;Zn;65,409;Antiquité;No Information;No Information;419,527 °C;907 °C
31;Gallium;31;Ga;69,723;1875;Paul-Émile Lecoq de Boisbaudran;France;29,7646 °C;2 204 °C
32;Germanium;32;Ge;72,64;1886;Clemens Winkler;Allemagne;938,25 °C;2 833 °C
33;Arsenic;33;As;74,92160;~1250;Albert le Grand;No Information;817 °C;339,85 °C
34;Sélénium;34;Se;78,96;1817;Johan Gottlieb Gahn, Jöns Jacob Berzelius;Suède;221 °C;685 °C
35;Brome;35;Br;79,904;1826;Leopold Gmelin, Antoine-Jérôme Balard;France;-7,2 °C;58,8 °C
